m5xFAD	WT
ENSMUSG00000043015	1.98451163563116	1.24232295632206
ENSMUSG00000041439	4.40561356170914	4.24354669629711
ENSMUSG00000026102	3.15841844791845	3.05666667303776
ENSMUSG00000041426	1.79954539844466	1.14748252735352
ENSMUSG00000043629	2.69499423553324	2.21139224034695
ENSMUSG00000026098	-0.0933663159392601	1.15035911251308
ENSMUSG00000026097	1.57691971742924	1.50553887148883
ENSMUSG00000026096	1.192438840094	1.29279407899887
ENSMUSG00000026095	2.44973250797302	1.72918456559092
ENSMUSG00000096141	-0.275158122617956	0.0686633252953861
ENSMUSG00000026094	2.02018573441335	1.36721974933177
ENSMUSG00000042807	1.81214871112942	0.750862923547196
ENSMUSG00000041303	3.36334931392052	2.83956343415039
ENSMUSG00000073678	0.835789408069516	0.598059460272673
ENSMUSG00000052331	0.569411237601791	0.500035434178965
ENSMUSG00000025982	4.47575838550564	4.07241785587355
ENSMUSG00000025981	2.35260910173439	2.478831766201
ENSMUSG00000101122	3.13272909067443	3.63465789055263
ENSMUSG00000025980	6.45666347563759	6.19662266882261
ENSMUSG00000073676	4.49554323939104	4.88877521684369
ENSMUSG00000089670	6.30767901884945	6.08655942063475
ENSMUSG00000025979	4.69354681171736	4.37539836374842
ENSMUSG00000061863	5.10429351359185	5.61810369908357
ENSMUSG00000025978	3.2955792935068	3.5874030829049
ENSMUSG00000097649	3.7553107806623	3.48687859076448
ENSMUSG00000046994	0.635285023262679	1.24848675117807
ENSMUSG00000100215	7.60182942246853	7.54589511549253
ENSMUSG00000038349	2.31381997365358	2.39937946994974
ENSMUSG00000102145	2.28646659190046	2.11641955868201
ENSMUSG00000038331	3.20668378564768	2.22456512116428
ENSMUSG00000087022	1.97667627226531	2.53191299733736
ENSMUSG00000101429	1.41759691681047	1.33454950553982
ENSMUSG00000038323	4.24213498289285	2.37156239256106
ENSMUSG00000048495	3.83941797161198	2.71289474872162
ENSMUSG00000025971	1.73744699264772	1.76828274386087
ENSMUSG00000038305	2.65466331956543	2.74013031195925
ENSMUSG00000054770	1.63329186388733	1.69141552048527
