	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000105839	115.31874881207716	4.279232111658287	0.8393630574067374	5.098189721238425	3.4291704352317797e-07	8.357601619335007e-05
ENSMUSG00000069301	19.126398198979697	-3.958813165164096	1.2402844085597107	-3.1918591718501856	0.0014136023652735112	0.009486464065751153
ENSMUSG00000104750	45.69354928626509	3.7089524251358252	0.9149007180420509	4.053939790399589	5.036218377025976e-05	0.0014025868180017344
ENSMUSG00000114456	27.347078539947844	-5.550637462773054	1.384464771969045	-4.009229830296584	6.091710502425946e-05	0.0015383512167109106
ENSMUSG00000069267	10.669426841372756	-4.139131673021471	1.5566297822236432	-2.659034100650913	0.007836503084593223	0.028160853020118875
ENSMUSG00000063632	11.378716405442615	-3.1715368306845897	1.3393318705071346	-2.3679992244817525	0.01788457338904816	0.04766367166363552
ENSMUSG00000021268	22.27771602148024	2.734948049427553	1.0258590711932312	2.6660075698764256	0.007675796458818765	0.027762458620532806
ENSMUSG00000097451	424.87226105048165	1.7951952104400453	0.7305969303597121	2.457162268059591	0.01400394161428593	0.04062601812061074
ENSMUSG00000070101	45.806494245373706	2.101441304908756	0.8953115373225758	2.347162096439754	0.018917022976282893	0.0490082874315794
ENSMUSG00000065176	195.18985776974515	-1.8665422796271924	0.7911291647941584	-2.359339489289139	0.01830749886689871	0.04852250214912635
ENSMUSG00000076258	193.0030980097241	2.1738783103968258	0.8378011146092631	2.594742681156121	0.009466175951037352	0.030834269033495936
ENSMUSG00000088689	121.67544562496417	2.1975440119388883	0.7623196413461881	2.8827067974507683	0.003942742422768326	0.01784716422633794
ENSMUSG00000064338	3991.4349831513364	2.472223825463746	0.7698082436045469	3.2114800614342807	0.0013205313381537591	0.008969950675020048
ENSMUSG00000064343	391.68378857342634	2.1272266847591883	0.7350493979749901	2.893991465906305	0.003803785001734839	0.01765590204971921
ENSMUSG00000064344	952.2657891107885	3.8537514520378524	0.732921403429546	5.258069192692507	1.4557574940162376e-07	8.108569241670443e-05
ENSMUSG00000064350	29.321002176456936	2.6453607513423454	0.9571349255866635	2.76383264326177	0.005712683101726052	0.02256712402596745
ENSMUSG00000064359	694.1642327892296	2.0642138969771437	0.7245262281628325	2.849053376868539	0.004384952315692079	0.01878783415261914
ENSMUSG00000064366	40.2453650651824	2.4693416534249124	0.9625265582828649	2.565478980476327	0.010303346384214807	0.033029277452732535
ENSMUSG00000064371	40.55882503634686	2.5936547044459832	0.8863459703947345	2.9262328606186343	0.003430940235836473	0.016947690906172333
